name,x,y,z,vx,vy,vz,epoch,reduc_epoch,part_idx
153201 (2000 WO107),-0.3670828385728002,-0.9255896068204393,0.002087542330227495,-0.004775800071122644,0.01565322676633824,0.001366781263080247,2459182.3299,0.0,0
153201 (2000 WO107),-0.3670810715202418,-0.925595398492207,0.002087036621382868,-0.0047758404899244,0.01565312386201635,0.001366781521605659,2459182.33027,0.0003700000233948231,0
153201 (2000 WO107),-0.3670793044516682,-0.9256011901293757,0.002086530912139162,-0.004775880907998935,0.01565302095838331,0.001366781780067979,2459182.33064,0.0007400000467896461,0
153201 (2000 WO107),-0.3670775373681465,-0.9256069817284487,0.002086025202801674,-0.004775921325321903,0.01565291805550123,0.001366782038467054,2459182.33101,0.0011100000701844692,0
153201 (2000 WO107),-0.3670757702696706,-0.9256127732894478,0.002085519493368662,-0.004775961741893504,0.01565281515336975,0.001366782296802877,2459182.33138,0.0014800000935792923,0
153201 (2000 WO107),-0.3670740031562341,-0.9256185648123946,0.002085013783838084,-0.004776002157713941,0.01565271225198848,0.00136678255507545,2459182.33175,0.0018500001169741154,0
153201 (2000 WO107),-0.3670722360278441,-0.925624356297268,0.002084508074212032,-0.004776042572783119,0.0156526093513578,0.00136678281328477,2459182.33212,0.0022200001403689384,0
153201 (2000 WO107),-0.3670705166456982,-0.9256299912177662,0.002084016032428021,-0.004776081894823634,0.01565250923256724,0.001366783064454692,2459182.33248,0.002580000087618828,0
153201 (2000 WO107),-0.3670599134740678,-0.92566473910518,0.002080981772113023,-0.004776324365080633,0.01565189184892788,0.001366784612012862,2459182.3347,0.004800000227987766,0
153201 (2000 WO107),-0.3670581462264686,-0.9256705302864839,0.002080476061727808,-0.004776364774161814,0.01565178895428193,0.001366784869717793,2459182.33507,0.005170000251382589,0
153201 (2000 WO107),-0.367056378963918,-0.9256763214297172,0.002079970351247267,-0.004776405182492218,0.01565168606038656,0.001366785127359452,2459182.33544,0.005540000274777412,0
153201 (2000 WO107),-0.3670546116864101,-0.9256821125349011,0.002079464640669609,-0.004776445590072047,0.01565158316724137,0.00136678538493784,2459182.33581,0.0059100002981722355,0
153201 (2000 WO107),-0.3670527966287256,-0.9256880601179848,0.002078945262037096,-0.004776487088975422,0.01565147749396084,0.001366785649411996,2459182.33619,0.006290000397711992,0
153201 (2000 WO107),-0.3670510293209125,-0.9256938511459994,0.002078439551266298,-0.00477652749503368,0.01565137460233708,0.001366785906862121,2459182.33656,0.006660000421106815,0
