name,x,y,z,vx,vy,vz,epoch,reduc_epoch,part_idx
153201 (2000 WO107),0.02203622510154303,-0.01919514578887715,0.002045450741112266,0.01130840721794554,0.008935349029036543,0.001367601274036739,2459182.3299,0.0,0
153201 (2000 WO107),0.02203204099244385,-0.01919845186626431,0.00204494472885988,0.0113084108326809,0.008935349107926571,0.00136760155333631,2459182.33027,0.0003700000233948231,0
153201 (2000 WO107),0.02202785687949456,-0.01920175794566396,0.002044438716200611,0.01130841444753095,0.008935349187842105,0.001367601832569442,2459182.33064,0.0007400000467896461,0
153201 (2000 WO107),0.02202367276522352,-0.01920506402508149,0.002043932703439763,0.01130841806249339,0.008935349268783048,0.001367602111735971,2459182.33101,0.0011100000701844692,0
153201 (2000 WO107),0.02201948864961484,-0.01920837010452907,0.002043426690575781,0.01130842167756822,0.008935349350749409,0.001367602390835894,2459182.33138,0.0014800000935792923,0
153201 (2000 WO107),0.02201530453265299,-0.01921167618401932,0.002042920677606637,0.01130842529275538,0.008935349433741186,0.001367602669869209,2459182.33175,0.0018500001169741154,0
153201 (2000 WO107),0.02201112041435335,-0.01921498226354033,0.00204241466453423,0.01130842890805481,0.00893534951775837,0.001367602948835916,2459182.33212,0.0022200001403689384,0
153201 (2000 WO107),0.02200704937992553,-0.01921819898889815,0.002041922327497791,0.01130843242575039,0.008935349600489003,0.001367603220198983,2459182.33248,0.002580000087618828,0
153201 (2000 WO107),0.02198194463425688,-0.01923803546686083,0.002038886246298803,0.01130845412055557,0.008935350132111455,0.001367604892211353,2459182.3347,0.004800000227987766,0
153201 (2000 WO107),0.02197776050530654,-0.01924134154662969,0.002038380232406045,0.01130845773674817,0.008935350224304032,0.001367605170646896,2459182.33507,0.005170000251382589,0
153201 (2000 WO107),0.02197357637501827,-0.01924464762643299,0.00203787421841036,0.01130846135305256,0.008935350317521983,0.00136760544901581,2459182.33544,0.005540000274777412,0
153201 (2000 WO107),0.02196939224337617,-0.01924795370628294,0.002037368204309784,0.0113084649694687,0.0089353504117653,0.001367605727318094,2459182.33581,0.0059100002981722355,0
153201 (2000 WO107),0.02196509502485638,-0.01925134914034735,0.002036848513943053,0.01130846868374279,0.008935350509623064,0.001367606013072758,2459182.33619,0.006290000397711992,0
