epoch,mag,mag_err,weight,curve_idx
2459182.39241,12.921,0.034,1.0,0
2459182.39315,12.957,0.036,1.0,0
2459182.39352,12.896,0.033,1.0,0
2459182.39389,12.861,0.036,1.0,0
2459182.39426,12.804,0.031,1.0,0
2459182.39464,12.854,0.046,1.0,0
2459182.39501,12.793,0.037,1.0,0
2459182.39575,12.798,0.036,1.0,0
2459182.39649,12.754,0.037,1.0,0
2459182.39797,12.684,0.039,1.0,0
2459182.39833,12.685,0.034,1.0,0
2459182.3987,12.723,0.033,1.0,0
2459182.40018,12.627,0.029,1.0,0
2459182.40166,12.655,0.031,1.0,0
2459182.40203,12.646,0.028,1.0,0
2459182.4024,12.639,0.028,1.0,0
2459182.40277,12.567,0.027,1.0,0
2459182.40314,12.601,0.028,1.0,0
2459182.40388,12.625,0.027,1.0,0
2459182.40425,12.582,0.028,1.0,0
2459182.40462,12.594,0.031,1.0,0
2459182.40499,12.558,0.026,1.0,0
2459182.40536,12.629,0.03,1.0,0
2459182.40574,12.561,0.027,1.0,0
2459182.40611,12.56,0.028,1.0,0
2459182.40648,12.585,0.028,1.0,0
2459182.40722,12.534,0.027,1.0,0
2459182.40759,12.563,0.029,1.0,0
2459182.40795,12.552,0.027,1.0,0
2459182.40832,12.555,0.03,1.0,0
2459182.40869,12.517,0.027,1.0,0
2459182.40906,12.55,0.026,1.0,0
2459182.40943,12.535,0.026,1.0,0
2459182.4098,12.546,0.028,1.0,0
2459182.41017,12.513,0.026,1.0,0
2459182.41054,12.518,0.028,1.0,0
2459182.41091,12.555,0.027,1.0,0
2459182.41128,12.517,0.028,1.0,0
2459182.41165,12.534,0.031,1.0,0
2459182.41202,12.512,0.028,1.0,0
2459182.41239,12.545,0.029,1.0,0
2459182.41276,12.552,0.028,1.0,0
2459182.4131300002,12.555,0.03,1.0,0
2459182.4135,12.482,0.027,1.0,0
2459182.41387,12.538,0.027,1.0,0
2459182.41424,12.533,0.025,1.0,0
2459182.41461,12.501,0.025,1.0,0
2459182.41498,12.507,0.028,1.0,0
2459182.41535,12.496,0.025,1.0,0
2459182.41572,12.593,0.025,1.0,0
2459182.41609,12.553,0.025,1.0,0
2459182.41646,12.532,0.024,1.0,0
2459182.41683,12.549,0.025,1.0,0
2459182.4172,12.526,0.027,1.0,0
2459182.4183,12.518,0.028,1.0,0
2459182.41867,12.571,0.026,1.0,0
2459182.41905,12.566,0.026,1.0,0
2459182.41942,12.641,0.029,1.0,0
2459182.41979,12.568,0.028,1.0,0
2459182.42016,12.516,0.026,1.0,0
2459182.42053,12.584,0.029,1.0,0
2459182.4209,12.573,0.025,1.0,0
2459182.42127,12.59,0.03,1.0,0
2459182.42164,12.562,0.029,1.0,0
2459182.42238,12.55,0.027,1.0,0
2459182.42275,12.573,0.036,1.0,0
2459182.42312,12.573,0.033,1.0,0
2459182.42349,12.551,0.033,1.0,0
2459182.42386,12.556,0.029,1.0,0
2459182.42423,12.583,0.035,1.0,0
2459182.4246,12.578,0.031,1.0,0
2459182.42497,12.635,0.032,1.0,0
2459182.42534,12.601,0.033,1.0,0
2459182.42571,12.591,0.028,1.0,0
2459182.42644,12.643,0.037,1.0,0
2459182.42681,12.624,0.032,1.0,0
2459182.42718,12.663,0.035,1.0,0
2459182.42755,12.621,0.029,1.0,0
2459182.42792,12.672,0.034,1.0,0
2459182.42866,12.688,0.035,1.0,0
2459182.42903,12.704,0.035,1.0,0
2459182.4294,12.694,0.035,1.0,0
2459182.42977,12.729,0.035,1.0,0
2459182.43015,12.76,0.032,1.0,0
2459182.43052,12.712,0.03,1.0,0
2459182.43089,12.707,0.029,1.0,0
2459182.43126,12.733,0.03,1.0,0
2459182.43163,12.794,0.035,1.0,0
2459182.432,12.747,0.035,1.0,0
2459182.43237,12.772,0.037,1.0,0
2459182.43274,12.726,0.039,1.0,0
2459182.43311,12.744,0.039,1.0,0
2459182.43421,12.869,0.044,1.0,0
2459182.43532,12.824,0.042,1.0,0
2459182.43569,12.892,0.04,1.0,0
2459182.43606,12.89,0.038,1.0,0
2459182.4368,12.824,0.035,1.0,0
2459182.43717,12.854,0.035,1.0,0
2459182.43754,12.88,0.035,1.0,0
2459182.43791,12.906,0.036,1.0,0
2459182.43865,12.956,0.037,1.0,0
2459182.43902,12.971,0.037,1.0,0
2459182.43939,12.979,0.037,1.0,0
2459182.43976,12.974,0.037,1.0,0
2459182.44013,13.049,0.04,1.0,0
2459182.4405,13.017,0.035,1.0,0
2459182.44087,13.084,0.037,1.0,0
2459182.44124,13.023,0.034,1.0,0
2459182.44161,13.092,0.037,1.0,0
2459182.44199,13.022,0.036,1.0,0
2459182.44236,13.13,0.04,1.0,0
2459182.44273,13.152,0.041,1.0,0
2459182.4431,13.107,0.04,1.0,0
2459182.44347,13.18,0.044,1.0,0
2459182.44384,13.196,0.044,1.0,0
2459182.44421,13.169,0.04,1.0,0
2459182.44458,13.279,0.048,1.0,0
2459182.44494,13.32,0.05,1.0,0
2459182.44531,13.296,0.046,1.0,0
2459182.44568,13.318,0.044,1.0,0
2459182.44605,13.215,0.041,1.0,0
2459182.44642,13.273,0.043,1.0,0
2459182.44679,13.325,0.047,1.0,0
2459182.44716,13.307,0.043,1.0,0
2459182.44753,13.38,0.045,1.0,0
2459182.4479,13.424,0.046,1.0,0
2459182.44827,13.479,0.048,1.0,0
2459182.44901,13.428,0.047,1.0,0
2459182.44938,13.432,0.053,1.0,0
2459182.44975,13.487,0.051,1.0,0
2459182.45012,13.499,0.051,1.0,0
2459182.45049,13.546,0.049,1.0,0
2459182.45086,13.574,0.051,1.0,0
2459182.4516,13.596,0.054,1.0,0
2459182.45197,13.576,0.057,1.0,0
2459182.45234,13.588,0.106,1.0,0
2459182.45381,13.735,0.063,1.0,0
2459182.45418,13.582,0.055,1.0,0
2459182.45456,13.601,0.055,1.0,0
2459182.45493,13.744,0.068,1.0,0
2459182.4553,13.664,0.061,1.0,0
2459182.45567,13.642,0.058,1.0,0
2459182.45604,13.826,0.1,1.0,0
2459182.45678,13.698,0.073,1.0,0
2459182.45715,13.693,0.064,1.0,0
2459182.45752,13.734,0.061,1.0,0
2459182.45789,13.75,0.058,1.0,0
2459182.45826,13.683,0.056,1.0,0
2459182.45863,13.725,0.055,1.0,0
2459182.459,13.785,0.063,1.0,0
2459182.45937,13.727,0.056,1.0,0
2459182.45974,13.645,0.05,1.0,0
2459182.46011,13.695,0.053,1.0,0
2459182.46048,13.729,0.055,1.0,0
2459182.46085,13.764,0.056,1.0,0
2459182.46196,13.746,0.117,1.0,0
2459182.46196,13.724,0.055,1.0,0
2459182.46233,13.787,0.056,1.0,0
2459182.4627,13.667,0.051,1.0,0
2459182.46307,13.779,0.058,1.0,0
2459182.46344,13.779,0.055,1.0,0
2459182.46381,13.631,0.048,1.0,0
2459182.46418,13.672,0.05,1.0,0
2459182.46455,13.702,0.058,1.0,0
2459182.46493,13.696,0.054,1.0,0
2459182.4653,13.699,0.052,1.0,0
2459182.46567,13.68,0.051,1.0,0
2459182.46678,13.623,0.053,1.0,0
2459182.46752,13.748,0.053,1.0,0
2459182.46863,13.612,0.047,1.0,0
2459182.469,13.698,0.053,1.0,0
2459182.46937,13.673,0.049,1.0,0
2459182.46974,13.606,0.047,1.0,0
2459182.47011,13.588,0.044,1.0,0
2459182.47048,13.602,0.047,1.0,0
2459182.47085,13.705,0.051,1.0,0
2459182.47122,13.636,0.047,1.0,0
2459182.47159,13.702,0.054,1.0,0
2459182.47195,13.697,0.053,1.0,0
2459182.47232,13.632,0.047,1.0,0
2459182.47269,13.7,0.053,1.0,0
2459182.47306,13.647,0.05,1.0,0
2459182.47343,13.677,0.05,1.0,0
2459182.4738,13.655,0.046,1.0,0
2459182.47417,13.681,0.048,1.0,0
2459182.47454,13.714,0.051,1.0,0
2459182.47491,13.658,0.048,1.0,0
2459182.47528,13.695,0.05,1.0,0
2459182.47565,13.592,0.044,1.0,0
2459182.47604,13.561,0.047,1.0,0
2459182.47641,13.598,0.044,1.0,0
2459182.47678,13.688,0.05,1.0,0
2459182.47715,13.551,0.042,1.0,0
2459182.47752,13.658,0.048,1.0,0
2459182.47827,13.577,0.045,1.0,0
2459182.47864,13.582,0.046,1.0,0
2459182.47901,13.695,0.048,1.0,0
2459182.47938,13.631,0.047,1.0,0
2459182.47975,13.578,0.047,1.0,0
2459182.48013,13.631,0.049,1.0,0
2459182.4805,13.665,0.048,1.0,0
2459182.48087,13.647,0.048,1.0,0
2459182.48125,13.716,0.051,1.0,0
2459182.48162,13.704,0.051,1.0,0
2459182.4819900002,13.64,0.049,1.0,0
2459182.48237,13.656,0.048,1.0,0
2459182.48274,13.623,0.048,1.0,0
2459182.48311,13.602,0.044,1.0,0
2459182.48348,13.537,0.043,1.0,0
2459182.48385,13.462,0.041,1.0,0
2459182.48422,13.464,0.04,1.0,0
2459182.4846,13.44,0.041,1.0,0
2459182.48497,13.371,0.037,1.0,0
2459182.48534,13.426,0.04,1.0,0
